name,snr,mass_final,snr_h1,res_h1,snr_l1,res_l1,S0,p,bkg_p90,S_inj,rho90
GW190917_114630,8.3,11.6,nan,nan,nan,nan,10.34,0.6617,16.88,47.93,3.56
GW191126_115259,8.3,19.6,nan,nan,nan,nan,18.91,0.6119,44.96,72.87,4.713
GW231026_130704,8.3,53,5.714,4.246,5.608,2.377,20.26,0.5721,24.23,51.04,4.134
GW231119_075248,8.3,79,5.602,1.884,5.854,1.855,13.91,0.4328,17.73,73.24,2.952
GW231230_170116,8.2,86,6.614,2.196,4.871,3.049,32.11,0.1741,35.37,66.24,4.385
GW190805_211137,8.1,72.4,4.546,2.738,6.903,2.22,14.72,0.408,18.49,71.13,3.059
GW190916_200658,8.1,65,5.097,2.699,6.711,1.667,14.03,0.8756,20.76,90.6,2.872
GW190926_050336,8.1,59.6,5.805,2.664,5.778,2.458,12.77,0.9005,19.72,77.22,3.032
GW200216_220804,8.1,78,6.46,3.251,4.88,2.601,19.34,0.0995,19,60.82,3.353
GW190514_065416,8,66.4,6.185,2.005,5.101,2.774,16.65,0.2289,18.67,39.56,4.122
GW190527_092055,8,55.5,5.313,2.68,7.189,2.861,14.36,0.6219,19.55,66.15,3.262
